Entity1,Relation,Entity2
cardiovascular exercise,is beneficial for,energy levels
cardiovascular exercise,is beneficial for,immune system
staying up late,is detrimental to,overall well-being
staying up late,is detrimental to,physical health
staying up late,is detrimental to,mental health
staying up late,is detrimental to,cardiovascular health
staying up late,is detrimental to,blood flow
staying up late,is detrimental to,energy levels
staying up late,is detrimental to,immune system
feeling tired,is a result of,staying up late
feeling tired,is a result of,sleep deprivation
regular physical activity,is beneficial for,overall well-being
regular physical activity,is beneficial for,physical health
regular physical activity,is beneficial for,mental health
regular physical activity,is beneficial for,cardiovascular health
regular physical activity,is beneficial for,blood flow
regular physical activity,is beneficial for,energy levels
regular physical activity,is beneficial for,immune system
cardiovascular exercise,is a form of,regular physical activity
cardiovascular exercise,is beneficial for,overall well-being
cardiovascular exercise,is beneficial for,physical health
cardiovascular exercise,is beneficial for,mental health
cardiovascular exercise,is beneficial for,cardiovascular health
cardiovascular exercise,is beneficial for,blood flow
cardiovascular exercise,is beneficial for,energy levels
cardiovascular exercise,is beneficial for,immune system
staying up late,is detrimental to,overall well-being
staying up late,is detrimental to,physical health
staying up late,is detrimental to,mental health
staying up late,is detrimental to,cardiovascular health
staying up late,is detrimental to,blood flow
staying up late,is detrimental to,energy levels
staying up late,is detrimental to,immune system
feeling tired,is a result of,staying up late
feeling tired,is a result of,sleep deprivation
regular physical activity,is beneficial for,overall well-being
regular physical activity,is beneficial for,physical health
regular physical activity,is beneficial for,mental health
regular physical activity,is beneficial for,cardiovascular health
regular physical activity,is beneficial for,blood flow
regular physical activity,is beneficial for,energy levels
regular physical activity,is beneficial for,immune system
cardiovascular exercise,is a form of,regular physical activity
cardiovascular exercise,is beneficial for,overall well-being
cardiovascular exercise,is beneficial for,physical health
cardiovascular exercise,is beneficial for,mental health
cardiovascular exercise,is beneficial for,cardiovascular health
cardiovascular exercise,is beneficial for,blood flow
cardiovascular exercise,is beneficial for,energy levels
cardiovascular exercise,is beneficial for,immune system
staying up late,is detrimental to,overall well-being
staying up late,is detrimental to,physical health
staying up late,is detrimental to,mental health
staying up late,is detrimental to,cardiovascular health
staying up late,is detrimental to,blood flow
staying up late,is detrimental to,energy levels
staying up late,is detrimental to,immune system
feeling tired,is a result of,staying up late
feeling tired,is a result of,sleep deprivation
regular physical activity,is beneficial for,overall well-being
regular physical activity,is beneficial for,physical health
regular physical activity,is beneficial for,mental health
regular physical activity,is beneficial for,cardiovascular health
regular physical activity,is beneficial for,blood flow
regular physical activity,is beneficial for,energy levels
regular physical activity,is beneficial for,immune system
cardiovascular exercise,is a form of,regular physical activity
cardiovascular exercise,is beneficial for,overall well-being
cardiovascular exercise,is beneficial for,physical health
cardiovascular exercise,is beneficial for,mental health
cardiovascular exercise,is beneficial for,cardiovascular health
cardiovascular exercise,is beneficial for,blood flow
cardiovascular exercise,is beneficial for,energy levels
cardiovascular exercise,is beneficial for,immune system
staying up late,is detrimental to,overall well-being
staying up late,is detrimental to,physical health
staying up late,is detrimental to,mental health
staying up late,is detrimental to,cardiovascular health
staying up late,is detrimental to,blood flow
staying up late,is detrimental to,energy levels
staying up late,is detrimental to,immune system
feeling tired,is a result of,staying up late
feeling tired,is a result of,sleep deprivation
regular physical activity,is beneficial for,overall well-being
regular physical activity,is beneficial for,physical health
regular physical activity,is beneficial for,mental health
regular physical activity,is beneficial for,cardiovascular health
Mike,takes a break,tasks
tasks,allows,energy and focus
energy and focus,leads to,taking on more tasks
taking a break,implies,a temporary pause or reduction in workload
taking a break,provides,"time for relaxation, self-reflection, and rejuvenation"
rejuvenation,leads to,feeling refreshed
taking on additional tasks,leads to,"increased workload, stress, and feelings of overwhelm"
overwhelm,leads to,negative impact on mental and physical well-being
taking a break,is likely to,lead to feeling refreshed
taking on more tasks,may lead to,feelings of burnout
taking a break,provides,a sense of relief and relaxation
taking a break,allows,individuals to recharge and return to work with renewed energy and focus
Mike,does not take on more tasks,"leads to, not feeling overwhelmed"
not feeling overwhelmed,implies,absence of taking on more tasks
taking on more tasks,is a primary cause of,feeling overwhelmed
Olivia,takes,bus
Olivia,takes,cab
bus,leads to,arriving on time
cab,leads to,arriving late
Julie,attends,gym sessions
gym sessions,leads to,increase in physical strength
gym sessions,leads to,increase in muscle mass
gym sessions,leads to,increased metabolism
gym sessions,leads to,afterburn effect
unhealthy food,leads to,weight gain
unhealthy food,is high in,calories
unhealthy food,is high in,sugar
unhealthy food,is high in,unhealthy fats
exercise,leads to,increased muscle mass
exercise,leads to,increased metabolism
exercise,leads to,afterburn effect
physical strength,is increased by,gym sessions
physical strength,is increased by,exercise
weight gain,is caused by,consuming more calories than the body burns
weight gain,is caused by,consuming unhealthy food
weight gain,is associated with,obesity
gym routine,has a protective effect against,weight gain
Julie,is dedicated to,gym routine
Julie,will not experience,weight gain
Julie,will not eat,unhealthy food
Julie,will become,stronger
diet,affects,weight gain
diet,affects,physical strength
fiber,is essential for,digestion
fiber,is essential for,satiety
fiber,is essential for,reduced cravings for unhealthy food
sugar,is high in,unhealthy food
fats,are high in,unhealthy food
fats,are high in,calories
calories,are high in,unhealthy food
calories,are high in,sugar
calories,are high in,fats
muscle mass,is increased by,exercise
muscle mass,is increased by,gym sessions
metabolism,is increased by,exercise
metabolism,is increased by,gym sessions
afterburn effect,is caused by,exercise
afterburn effect,is caused by,gym sessions
Julie,will experience,weight gain
Julie,will eat,unhealthy food
Julie,will not become,stronger
gym routine,has a positive effect on,physical strength
gym routine,has a negative effect on,weight gain
unhealthy food,has a negative effect on,physical strength
unhealthy food,has a positive effect on,weight gain
Julie,will not experience,"weight gain, if she is dedicated to her gym routine"
Julie,will not eat,"unhealthy food, if she is dedicated to her gym routine"
Julie,will become,"stronger, if she is dedicated to her gym routine"
Julie,will not become,"stronger, if she does not eat unhealthy food"
Julie,will not experience,"weight gain, if she does not eat unhealthy food"
Julie,will eat,"unhealthy food, if she is not dedicated to her gym routine"
Julie,will experience,"weight gain, if she is not dedicated to her gym routine"
Julie,will become,"stronger, if she is not dedicated to her gym routine"
Julie,will not eat,"unhealthy food, if she is not dedicated to her gym routine"
Julie,will not become,"stronger, if she eats unhealthy food"
Julie,will not experience,"weight gain, if she eats healthy food"
Julie,will become,"stronger, if she eats healthy food"
Julie,will eat,"healthy food, if she is dedicated to her gym routine"
Julie,will not eat,"healthy food, if she is not dedicated to her gym routine"
Julie,will not become,"stronger, if she is not dedicated to her gym routine"
Julie,will not experience,"weight gain, if she is dedicated to her gym routine"
Julie,will become,"stronger, if she eats healthy food"
Julie,will not eat,"unhealthy food, if she is dedicated to her gym routine"
Julie,will not become,"stronger, if she eats unhealthy food"
Julie,will not experience,"weight gain, if she eats healthy food"
Julie,will eat,"healthy food, if she eats healthy food"
Julie,will become,"stronger, if she eats healthy food"
Julie,will not eat,"unhealthy food, if she eats healthy food"
Julie,will not become,"stronger, if she eats unhealthy food"
Julie,will not experience,"weight gain, if she eats healthy food"
Julie,will eat,"healthy food, if she is not dedicated to her gym routine"
Julie,will not eat,"unhealthy food, if she eats healthy food"
Julie,will not become,"stronger, if she eats healthy food"
Julie,will not experience,"weight gain, if she eats healthy food"
Julie,will become,"stronger, if she is dedicated to her gym routine"
Julie,will not eat,"unhealthy food, if she is dedicated to her gym routine"
Julie,will not become,"stronger, if she is not dedicated to her gym routine"
Julie,will not experience,"weight gain, if she is dedicated to her gym routine"
Julie,will eat,"healthy food, if she is dedicated to her gym routine"
Julie,will not eat,"unhealthy food, if she is not dedicated to her gym routine"
Julie,will not become,"stronger, if she eats unhealthy food"
Julie,will not experience,"weight gain, if she eats unhealthy food"
Julie,will become,"stronger, if she eats healthy food"
Julie,will not eat,"unhealthy food, if she eats healthy food"
Julie,will not become,"stronger, if she eats unhealthy food"
Julie,will not experience,"weight gain, if she eats healthy food"
Julie,will eat,"healthy food, if she is not dedicated to her gym routine"
Julie,will not eat,"unhealthy food, if she eats healthy food"
Julie,will not become,"stronger, if she eats healthy food"
Julie,will not experience,"weight gain, if she eats healthy food"
Julie,will become,"stronger, if she is dedicated to her gym routine"
Julie,will not eat,"unhealthy food, if she is dedicated to her gym routine"
Julie,will not become,"stronger, if she is not dedicated to her gym routine"
Julie,will not experience,"weight gain, if she is dedicated to her gym routine"
Julie,will eat,"healthy food, if she is dedicated to her gym routine"
Julie,will not eat,"unhealthy food, if she is not dedicated to her gym routine"
Julie,will not become,"stronger, if she eats unhealthy food"
Julie,will not experience,"weight gain, if she eats unhealthy food"
Julie,will become,"stronger, if she eats healthy food"
Julie,will not eat,"unhealthy food, if she eats healthy food"
Julie,will not become,"stronger, if she eats unhealthy food"
Julie,will not experience,"weight gain, if she eats healthy food"
Julie,will eat,"healthy food, if she is not dedicated to her gym routine"
Julie,will not eat,"unhealthy food, if she eats healthy food"
Julie,will not become,"stronger, if she eats healthy food"
Julie,will not experience,"weight gain, if she eats healthy food"
Julie,will become,"stronger, if she is dedicated to her gym routine"
Julie,will not eat,"unhealthy food, if she is dedicated to her gym routine"
Julie,will not become,"stronger, if she is not dedicated to her gym routine"
Julie,will not experience,"weight gain, if she is dedicated to her gym routine"
Julie,will eat,"healthy food, if she is dedicated to her gym routine"
Julie,will not eat,"unhealthy food, if she is not dedicated to her gym routine"
Julie,will not become,"stronger, if she eats unhealthy food"
Julie,will not experience,"weight gain, if she eats unhealthy food"
Julie,will become,"stronger, if she eats healthy food"
Julie,will not eat,"unhealthy food, if she eats healthy food"
Julie,will not become,"stronger, if she eats unhealthy food"
Julie,will not experience,"weight gain, if she eats healthy food"
Julie,will eat,"healthy food, if she is not dedicated to her gym routine"
Julie,will not eat,"unhealthy food, if she eats healthy food"
Julie,will not become,"stronger, if she eats healthy food"
Julie,will not experience,"weight gain, if she eats healthy food"
Julie,will become,"stronger, if she is dedicated to her gym routine"
Julie,will not eat,"unhealthy food, if she is dedicated to her gym routine"
Julie,will not become,"stronger, if she is not dedicated to her gym routine"
Julie,will not experience,"weight gain, if she is dedicated to her gym routine"
Julie,will eat,"healthy food, if she is dedicated to her gym routine"
Julie,will not eat,"unhealthy food, if she is not dedicated to her gym routine"
Julie,will not become,"stronger, if she eats unhealthy food"
Julie,will not experience,"weight gain, if she eats unhealthy food"
Julie,will become,"stronger, if she eats healthy food"
Julie,will not eat,"unhealthy food, if she eats healthy food"
Julie,will not become,"stronger, if she eats unhealthy food"
Julie,will not experience,"weight gain, if she eats healthy food"
Julie,will eat,"healthy food, if she is not dedicated to her gym routine"
Julie,will not eat,"unhealthy food, if she eats healthy food"
Julie,will not become,"stronger, if she eats healthy food"
Julie,will not experience,"weight gain, if she eats healthy food"
Julie,will become,"stronger, if she is dedicated to her gym routine"
Julie,will not eat,"unhealthy food, if she is dedicated to her gym routine"
Julie,will not become,"stronger, if she is not dedicated to her gym routine"
Julie,will not experience,"weight gain, if she is dedicated to her gym routine"
Julie,will eat,"healthy food, if she is dedicated to her gym routine"
Julie,will not eat,"unhealthy food, if she is not dedicated to her gym routine"
Julie,will not become,"stronger, if she eats unhealthy food"
Julie,will not experience,"weight gain, if she eats unhealthy food"
Julie,will become,"stronger, if she eats healthy food"
Julie,will not eat,"unhealthy food, if she eats healthy food"
Julie,will not become,"stronger, if she eats unhealthy food"
Julie,will not experience,"weight gain, if she eats healthy food"
Julie,will eat,"healthy food, if she is not dedicated to her gym routine"
Julie,will not eat,"unhealthy food, if she eats healthy food"
Julie,will not become,"stronger, if she eats healthy food"
Julie,will not experience,"weight gain, if she eats healthy food"
Julie,will become,"stronger, if she is dedicated to her gym routine"
Julie,will not eat,"unhealthy food, if she is dedicated to her gym routine"
Julie,will not become,"stronger, if she is not dedicated to her gym routine"
Julie,will not experience,"weight gain, if she is dedicated to her gym routine"
Julie,will eat,"healthy food, if she is dedicated to her gym routine"
Julie,will not eat,"unhealthy food, if she is not dedicated to her gym routine"
Julie,will not become,"stronger, if she eats unhealthy food"
Julie,will not experience,"weight gain, if she eats unhealthy food"
Julie,will become,"stronger, if she eats healthy food"
Julie,will not eat,"unhealthy food, if she eats healthy food"
Julie,will not become,"stronger, if she eats unhealthy food"
Julie,will not experience,"weight gain, if she eats healthy food"
Julie,will eat,"healthy food, if she is not dedicated to her gym routine"
Julie,will not eat,"unhealthy food, if she eats healthy food"
Julie,will not become,"stronger, if she eats healthy food"
Julie,will not experience,"weight gain, if she eats healthy food"
Julie,will become,"stronger, if she is dedicated to her gym routine"
Julie,will not eat,"unhealthy food, if she is dedicated to her gym routine"
Julie,will not become,"stronger, if she is not dedicated to her gym routine"
Julie,will not experience,"weight gain, if she is dedicated to her gym routine"
Julie,will eat,"healthy food, if she is dedicated to her gym routine"
Julie,will not eat,"unhealthy food, if she is not dedicated to her gym routine"
Julie,will not become,"stronger, if she eats unhealthy food"
Julie,will not experience,"weight gain, if she eats unhealthy food"
Julie,will become,"stronger, if she eats healthy food"
Julie,will not eat,"unhealthy food, if she eats healthy food"
Julie,will not become,"stronger, if she eats unhealthy food"
Julie,will not experience,"weight gain, if she eats healthy food"
Julie,will eat,"healthy food, if she is not dedicated to her gym routine"
Julie,will not eat,"unhealthy food, if she eats healthy food"
Julie,will not become,"stronger, if she eats healthy food"
Julie,will not experience,"weight gain, if she eats healthy food"
Julie,will become,"stronger, if she is dedicated to her gym routine"
Julie,will not eat,"unhealthy food, if she is dedicated to her gym routine"
Julie,will not become,"stronger, if she is not dedicated to her gym routine"
Julie,will not experience,"weight gain, if she is dedicated to her gym routine"
Julie,will eat,"healthy food, if she is dedicated to her gym routine"
Julie,will not eat,"unhealthy food, if she is not dedicated to her gym routine"
Julie,will not become,"stronger, if she eats unhealthy food"
Julie,will not experience,"weight gain, if she eats unhealthy food"
Julie,will become,"stronger, if she eats healthy food"
Julie,will not eat,"unhealthy food, if she eats healthy food"
Julie,will not become,"stronger, if she eats unhealthy food"
Julie,will not experience,"weight gain, if she eats healthy food"
Julie,will eat,"healthy food, if she is not dedicated to her gym routine"
Julie,will not eat,"unhealthy food, if she eats healthy food"
Julie,will not become,"stronger, if she eats healthy food"
Julie,will not experience,"weight gain, if she eats healthy food"
Julie,will become,"stronger, if she is dedicated to her gym routine"
Julie,will not eat,"unhealthy food, if she is dedicated to her gym routine"
Julie,will not become,"stronger, if she is not dedicated to her gym routine"
Julie,will not experience,"weight gain, if she is dedicated to her gym routine"
Julie,will eat,"healthy food, if she is dedicated to her gym routine"
Julie,will not eat,"unhealthy food, if she is not dedicated to her gym routine"
Julie,will not become,"stronger, if she eats unhealthy food"
Julie,will not experience,"weight gain, if she eats unhealthy food"
Julie,will become,"stronger, if she eats healthy food"
Julie,will not eat,"unhealthy food, if she eats healthy food"
Julie,dedicated to,gym routine
gym routine,contributes to,physical strength
physical strength,increases with,regular exercise
gym routine,associated with,muscle growth
unhealthy food,leads to,weight gain
weight gain,results from,high caloric intake
unhealthy food,has low,nutrient content
diet,affects,weight gain
diet,affects,body mass index (BMI
BMI,is a measure of,body fat
hormonal imbalances,can lead to,weight gain
genetic predispositions,can lead to,weight gain
exercise science,supports,relationship between gym attendance and physical strength
resistance training,improves,muscle mass
physical activity,improves,physical strength
regular exercise,leads to,increase in physical strength
Julie,will not experience weight gain,if dedicated to gym routine
reckless driving,leads to,receiving a ticket
reckless driving,is a serious offense,"that can lead to fines, license suspension, and imprisonment"
law enforcement,patrols roads to,identify and apprehend drivers engaging in reckless behavior
police officers,issue tickets to,drivers engaging in reckless behavior
driving safely,reduces the risk,"of accidents, injury, and fatality"
driving safely,minimizes the likelihood,of receiving a ticket
driving recklessly,does not guarantee,that a person will not receive a ticket
Julie,drives recklessly,will likely receive a ticket
Julie,drives safely,"does not guarantee, that she will not receive a ticket"
Julie,diet,affects her weight gain
Julie,physical activity,affects her physical strength
Julie,lifestyle,affects her weight gain
Julie,lifestyle,affects her physical strength
Julie,height,affects her BMI
Julie,weight,affects her BMI
Julie,muscle mass,affects her physical strength
Julie,body fat,affects her BMI
Julie,genetic predispositions,affect her weight gain
Julie,hormonal imbalances,affect her weight gain
Julie,exercise science,supports her physical strength
Julie,regular exercise,leads to increase in physical strength
Julie,resistance training,improves her muscle mass
Julie,physical activity,improves her physical strength
Reckless driving,implies,Ticket
Ticket,implies,Reckless driving
Safe driving,implies,No ticket
No ticket,implies,Safe driving
Reckless driving,leads to,Accidents
Accidents,leads to,Harm
Harm,leads to,Consequences
Consequences,implies,Penalties
Penalties,implies,Fines
Fines,implies,Traffic laws
Traffic laws,implies,Road signs
Road signs,implies,Safety guidelines
Safety guidelines,implies,Safe driving
Safe driving,implies,Responsibility
Responsibility,implies,Behavior
Behavior,implies,Consequences
Consequences,implies,Implications
Implications,implies,Outcome
Outcome,implies,Scenario
Scenario,implies,Context
"if he frequently uses the internet)
32. Aryan",Cause,Physical inactivity (if he frequently uses the internet
"if he frequently uses the internet)
34. Aryan",Cause,Improved mental health (if he engages in physical activity
a),implies,"Aryan is able to use the internet without developing a dependency
18. statement (a"
John,has,phone
John,turned off,phone
John,keeps on,phone
phone,distractions,increase
distractions,impact,productivity
productivity,increase,turning off phone
phone,notifications,distractions
social media,distractions,increase
email,distractions,increase
chatty coworkers,distractions,increase
motivation,productivity,increase
time management,productivity,increase
concentration,productivity,increase
distractions,reduce,productivity
John,will not be,distracted
John,turned off,phone
John,will be,more productive
phone,turned off,distraction reduction
context,influence,phone usage
individual,ability,focus
focus,productivity,increase
distractions,productivity,decrease
phone,on,distractions increase
phone,off,productivity increase
writer,turned off,phone
student,silenced,phone
work,concentration,require
studying,concentration,require
creative activities,concentration,require
John,able to resist,phone temptations
John,remain focused,phone on
statement (a),false,statement (b
statement (b),false,statement (a
John,keep phone on,statement (b
