Entity1,Relation,Entity2
Prince Philip,uses,Bow Room
Alfred Adler,worked at,clinics
Alfred Adler,was a,psychoanalyst
Josefine Anna Henninger,became,wife
Bolte government,invested in,freeway
Bolte government,invested in,highway developments
St Kilda Junction,was remodeled,Bolte government
Hoddle Street,was widened,Bolte government
Melbourne,was modernised,Bolte government
Melbourne,was remodeled,Bolte government
St Kilda Junction,was remodeled,Bolte government
Hoddle Street,was widened,Bolte government
Melbourne Transportation Plan,was implemented,Bolte government
Benjamin Franklin,Member of,Committee of Five
Committee of Five,Drafted,Declaration of Independence
Benjamin Franklin,Made changes to,Declaration of Independence
Conrad IV,Received rights from,Frederick II
Eli Whitney,Remained in,New Haven
École des Beaux-Arts,Located in,France
Nicolas Chopin,husband of,Justyna Krzyżanowska
Nicolas Chopin,worked for,Skarbeks
Fryderyk Skarbek,pupil of,Nicolas Chopin
Nicolas Chopin,adopted homeland,Poland
Egypt,imports equipment from,US
Egypt,imports equipment from,France
Egypt,imports equipment from,Britain
Egypt,builds equipment under license,US
Egypt,builds equipment under license,France
Egypt,builds equipment under license,Britain
Egypt,has improved relations with,Russia
Egypt,has improved relations with,China
Egypt,has a comprehensive strategic partnership with,China
Romanesque art,was prominent in,Mosan art
Mosan art,was influenced by,Nicholas of Verdun
Liège,has a font created by,Nicholas of Verdun
Gloucester Candlestick,is an example of,Romanesque art
Andaman and Nicobar Islands,are geographically part of,Southeast Asia
Eastern Bangladesh,is culturally part of,Southeast Asia
Seven Sister States,are geographically part of,Southeast Asia
Papua New Guinea,is sometimes included in,Southeast Asia
Palau,is sometimes included in,Southeast Asia
Guam,is sometimes included in,Southeast Asia
Northern Mariana Islands,are sometimes included in,Southeast Asia
Australian Democrats,was founded by,Don Chipp
barley,is used to make,beer
Isis,worshipped as,Demeter
Hotel Meurice,located in,Paris
Hotel Bristol,opened in,1925
Gaius Julius Caesar,member of,First Triumvirate
Gaius Julius Caesar,allied with,Gnaeus Pompeius Magnus
Gaius Julius Caesar,fought in,Gaul
Marcus Licinius Crassus,member of,First Triumvirate
Marcus Licinius Crassus,invaded,Parthian Empire
Marcus Licinius Crassus,died at,Battle of Carrhae
Gnaeus Pompeius Magnus,member of,First Triumvirate
Gnaeus Pompeius Magnus,allied with,Marcus Licinius Crassus
Gnaeus Pompeius Magnus,fought against,Gaius Julius Caesar
Henry the Young King,fought against,Richard
Henry II,supported,Richard
Richard,refused to give up,Aquitaine
Richard,attacked,Brittany
London,had,Metropolitan Board of Works
London,had,London County Council
London,bombed by,German Luftwaffe
London,bombed by,Blitz
Metropolitan Board of Works,abolished,London County Council
London County Council,created,1889
London County Council,replaced,Metropolitan Board of Works
German Luftwaffe,bombed,London
German Luftwaffe,bombed,Blitz
Victoria,mother of,Victoria's mother
Victoria's mother,died,Victoria
Conroy,blamed by,Victoria
Lehzen,blamed by,Victoria
Albert,relieved,Victoria
Albert,ill,Typhoid fever
Albert,diagnosed by,William Jenner
Albert,died,Typhoid fever
Albert,husband of,Victoria
Prince of Wales,philandering,Albert
Prince of Wales,son of,Albert
Prince of Wales,son of,Victoria
Victoria,blamed,Prince of Wales's philandering
Typhoid fever,caused the death of,Albert
William Jenner,diagnosed Albert with,Typhoid fever
Inner heartwood,remains sound,Old trees
Fire,can damage,Old trees
Insects,can damage,Old trees
Timber,can damage,Old trees
Bipolar transistors,conduct using,Majority carriers
Bipolar transistors,conduct using,Minority carriers
Junction diodes,combined to form,Bipolar transistors
P-type semiconductor,used in,Bipolar transistors
N-type semiconductor,used in,Bipolar transistors
Alfonso III,died,910
García,son of,Alfonso III
García,king of,León
Ordoño,son of,Alfonso III
Ordoño,reigned in,Galicia
Fruela,son of,Alfonso III
Fruela,king of,Asturias
Alfonso III,died in,Zamora
Nagano,hosted,Torch relay
Nagano,cancelled,Torch relay
Japan,hosted,Torch relay
London,avoided by,Victoria
Widow of Windsor,nickname of,Victoria
Torch relay,hosted,Nagano
Torch relay,cancelled,Nagano
Albert,died,Typhoid fever
Typhoid fever,caused the death of,Albert
William Jenner,diagnosed Albert with,Typhoid fever
William Jenner,treated,Albert
Typhoid fever,diagnosed by,William Jenner
William Jenner,diagnosed,Albert
William Jenner,treated,Albert
Albert,had,Typhoid fever
William Jenner,diagnosed,Albert
William Jenner,treated,Albert
Albert,had,Typhoid fever
William Jenner,diagnosed,Albert
William Jenner,treated,Albert
Albert,had,Typhoid fever
William Jenner,diagnosed,Albert
William Jenner,treated,Albert
Albert,had,Typhoid fever
William Jenner,diagnosed,Albert
William Jenner,treated,Albert
Albert,had,Typhoid fever
William Jenner,diagnosed,Albert
William Jenner,treated,Albert
Albert,had,Typhoid fever
William Jenner,diagnosed,Albert
William Jenner,treated,Albert
Albert,had,Typhoid fever
William Jenner,diagnosed,Albert
William Jenner,treated,Albert
Albert,had,Typhoid fever
William Jenner,diagnosed,Albert
William Jenner,treated,Albert
Albert,had,Typhoid fever
William Jenner,diagnosed,Albert
William Jenner,treated,Albert
Albert,had,Typhoid fever
William Jenner,diagnosed,Albert
William Jenner,treated,Albert
