Entity1,Relation,Entity2
Josefine Anna Henninger's husband,volunteered,psychoanalyst Alfred Adler's clinics
Josefine Anna Henninger's husband,studied,philosophy
Josefine Anna Henninger's husband,studied,psychology
Josefine Anna Henninger's husband,became,elementary teacher
Josefine Anna Henninger's husband,worked at,after-school care club
Pädagogisches Institut,was founded,Josefine Anna Henninger's husband
Pädagogisches Institut,was attended by,Josefine Anna Henninger's husband
Melbourne,was modernised,Bolte government
Melbourne,was changed,car-dominated environment
Melbourne,was remodeled,Bolte government
St Kilda Junction,was remodeled,Bolte government
Hoddle Street,was widened,Bolte government
Melbourne Transportation Plan,was implemented,Bolte government
Public expenditure,was 8.9% of,GDP
Private expenditure,was 1.3% of,GDP
HIV/AIDS prevalence,was 2.8% among,15- to 49-year-olds
Health expenditure,was US$30 per,capita
Britain,used airplanes,to bomb Taleex
Britain,turned former Dervish territories,into protectorate
Britain,used airplanes,in Africa
Britain,used airplanes,for the first time
Dervish State,was defeated,by Britain
Dervish State,was repulsed,by British empire
Dervish State,received support,from Ottoman empire
Dervish State,received support,from German empires
Hassan,was named,Emir of the Somali nation
Hassan,was a,Dervish leader
Hassan,led,Somali soldiers
Hassan,began,anti-colonial wars
Hassan,was a,Somali leader
Somali nation,was led,by Hassan
Somali Sultans,faced opposition,from Italy
Somali Sultans,faced opposition,from armies
Italian occupation,ended,in 1941
Italian occupation,was replaced,by British military administration
State Apartments,contains,semi-state apartments
Marble Hall,leads to,semi-state apartments
1844 Room,was decorated,for Tsar Nicholas I of Russia
1844 Room,was used for,State visit
Tsar Nicholas I of Russia,visited,State Apartments
1855 Room,was decorated,for Emperor Napoleon III of France
1855 Room,was used for,visit
Emperor Napoleon III of France,visited,State Apartments
Bow Room,leads to,Queen's Garden Parties
Queen,uses,Bow Room
Prince Philip,uses,Bow Room
Alfred Adler,worked at,clinics
Alfred Adler,was a,psychoanalyst
Josefine Anna Henninger,became,wife
Housing Commission of Victoria,demolished,neighbourhoods
Housing Commission of Victoria,built,high-rise towers
Bolte government,invested in,freeway
Bolte government,invested in,highway developments
Bolte government,sought to,modernise Melbourne
St Kilda Junction,was remodeled,Bolte government
Hoddle Street,was widened,Bolte government
Melbourne Transportation Plan,changed,face of the city
Public expenditure,was,8.9% of GDP
Private expenditure,was,1.3% of GDP
HIV/AIDS prevalence,was,2.8% among 15- to 49-year-olds
Health expenditure,was,US$30 per capita
Daycare facility,planned,Josefine Anna Henninger's husband
Josefine Anna Henninger's husband,assumed,ability to make furniture
Josefine Anna Henninger's husband,worked as,cabinetmaker
Josefine Anna Henninger's husband,completed,apprenticeship
Josefine Anna Henninger's husband,volunteered,psychoanalyst Alfred Adler's clinics
Josefine Anna Henninger's husband,studied,philosophy
Josefine Anna Henninger's husband,studied,psychology
Josefine Anna Henninger's husband,became,elementary teacher
Josefine Anna Henninger's husband,worked at,after-school care club
Pädagogisches Institut,was founded,Josefine Anna Henninger's husband
Pädagogisches Institut,was attended by,Josefine Anna Henninger's husband
Melbourne,was modernised,Bolte government
Melbourne,was changed,car-dominated environment
Melbourne,was remodeled,Bolte government
St Kilda Junction,was remodeled,Bolte government
Hoddle Street,was widened,Bolte government
Melbourne Transportation Plan,was implemented,Bolte government
Public expenditure,was 8.9% of,GDP
Private expenditure,was 1.3% of,GDP
HIV/AIDS prevalence,was 2.8% among,15- to 49-year-olds
Health expenditure,was US$30 per,capita
Britain,used airplanes,to bomb Taleex
Britain,turned former Dervish territories,into protectorate
Britain,used airplanes,in Africa
Britain,used airplanes,for the first time
Dervish State,was defeated,by Britain
Dervish State,was repulsed,by British empire
Dervish State,received support,from Ottoman empire
Dervish State,received support,from German empires
Hassan,was named,Emir of the Somali nation
Hassan,was a,Dervish leader
Hassan,led,Somali soldiers
Hassan,began,anti-colonial wars
Hassan,was a,Somali leader
Somali nation,was led,by Hassan
Somali Sultans,faced opposition,from Italy
Somali Sultans,faced opposition,from armies
Italian occupation,ended,in 1941
Italian occupation,was replaced,by British military administration
State Apartments,contains,semi-state apartments
Marble Hall,leads to,semi-state apartments
1844 Room,was decorated,for Tsar Nicholas I of Russia
1844 Room,was used for,State visit
Tsar Nicholas I of Russia,visited,State Apartments
1855 Room,was decorated,for Emperor Napoleon III of France
1855 Room,was used for,visit
Emperor Napoleon III of France,visited,State Apartments
Bow Room,leads to,Queen's Garden Parties
Queen,uses,Bow Room
Prince Philip,uses,Bow Room
Alfred Adler,worked at,clinics
Alfred Adler,was a,psychoanalyst
Josefine Anna Henninger,became,wife
Housing Commission of Victoria,demolished,neighbourhoods
Housing Commission of Victoria,built,high-rise towers
Bolte government,invested in,freeway
Bolte government,invested in,highway developments
Bolte government,sought to,modernise Melbourne
St Kilda Junction,was remodeled,Bolte government
Hoddle Street,was widened,Bolte government
Melbourne Transportation Plan,changed,face of the city
Public expenditure,was,8.9% of GDP
Private expenditure,was,1.3% of GDP
HIV/AIDS prevalence,was,2.8% among 15- to 49-year-olds
Health expenditure,was,US$30 per capita
Daycare facility,planned,Josefine Anna Henninger's husband
Josefine Anna Henninger's husband,assumed,ability to make furniture
Josefine Anna Henninger's husband,worked as,cabinetmaker
Josefine Anna Henninger's husband,completed,apprenticeship
Josefine Anna Henninger's husband,volunteered,psychoanalyst Alfred Adler's clinics
Josefine Anna Henninger's husband,studied,philosophy
Josefine Anna Henninger's husband,studied,psychology
Josefine Anna Henninger's husband,became,elementary teacher
Josefine Anna Henninger's husband,worked at,after-school care club
Pädagogisches Institut,was founded,Josefine Anna Henninger's husband
Pädagogisches Institut,was attended by,Josefine Anna Henninger's husband
Melbourne,was modernised,Bolte government
Melbourne,was changed,car-dominated environment
Melbourne,was remodeled,Bolte government
St Kilda Junction,was remodeled,Bolte government
Hoddle Street,was widened,Bolte government
Melbourne Transportation Plan,was implemented,Bolte government
Public expenditure,was 8.9% of,GDP
Private expenditure,was 1.3% of,GDP
HIV/AIDS prevalence,was 2.8% among,15- to 49-year-olds
Health expenditure,was US$30 per,capita
Britain,used airplanes,to bomb Taleex
Britain,turned former Dervish territories,into protectorate
Britain,used airplanes,in Africa
Britain,used airplanes,for the first time
Dervish State,was defeated,by Britain
Dervish State,was repulsed,by British empire
Dervish State,received support,from Ottoman empire
Dervish State,received support,from German empires
Hassan,was named,Emir of the Somali nation
Hassan,was a,Dervish leader
Hassan,led,Somali soldiers
Hassan,began,anti-colonial wars
Hassan,was a,Somali leader
Somali nation,was led,by Hassan
Somali Sultans,faced opposition,from Italy
Somali Sultans,faced opposition,from armies
Italian occupation,ended,in 1941
Italian occupation,was replaced,by British military administration
State Apartments,contains,semi-state apartments
Marble Hall,leads to,semi-state apartments
1844 Room,was decorated,for Tsar Nicholas I of Russia
1844 Room,was used for,State visit
Tsar Nicholas I of Russia,visited,State Apartments
1855 Room,was decorated,for Emperor Napoleon III of France
1855 Room,was used for,visit
Emperor Napoleon III of France,visited,State Apartments
Bow Room,leads to,Queen's Garden Parties
Queen,uses,Bow Room
Prince Philip,uses,Bow Room
Alfred Adler,worked at,clinics
Alfred Adler,was a,psychoanalyst
Josefine Anna Henninger,became,wife
Housing Commission of Victoria,demolished,neighbourhoods
Housing Commission of Victoria,built,high-rise towers
Bolte government,invested in,freeway
Bolte government,invested in,highway developments
Bolte government,sought to,modernise Melbourne
St Kilda Junction,was remodeled,Bolte government
Hoddle Street,was widened,Bolte government
Melbourne Transportation Plan,changed,face of the city
Public expenditure,was,8.9% of GDP
Private expenditure,was,1.3% of GDP
HIV/AIDS prevalence,was,2.8% among 15- to 49-year-olds
Health expenditure,was,US$30 per capita
Daycare facility,planned,Josefine Anna Henninger's husband
Josefine Anna Henninger's husband,assumed,ability to make furniture
Josefine Anna Henninger's husband,worked as,cabinetmaker
Josefine Anna Henninger's husband,completed,apprenticeship
Josefine Anna Henninger's husband,volunteered,psychoanalyst Alfred Adler's clinics
Josefine Anna Henninger's husband,studied,philosophy
Josefine Anna Henninger's husband,studied,psychology
Josefine Anna Henninger's husband,became,elementary teacher
Josefine Anna Henninger's husband,worked at,after-school care club
Pädagogisches Institut,was founded,Josefine Anna Henninger's husband
Pädagogisches Institut,was attended by,Josefine Anna Henninger's husband
Melbourne,was modernised,Bolte government
Melbourne,was changed,car-dominated environment
Melbourne,was remodeled,Bolte government
St Kilda Junction,was remodeled,Bolte government
Hoddle Street,was widened,Bolte government
Melbourne Transportation Plan,was implemented,Bolte government
Public expenditure,was 8.9% of,GDP
Private expenditure,was 1.3% of,GDP
HIV/AIDS prevalence,was 2.8% among,15- to 49-year-olds
Health expenditure,was US$30 per,capita
Britain,used airplanes,to bomb Taleex
Britain,turned former Dervish territories,into protectorate
Britain,used airplanes,in Africa
Britain,used airplanes,for the first time
Congo-Brazzaville,Location of,population
Congo-Brazzaville,Problem of,malnutrition
Lexington,Location of,American Revolution
Concord,Location of,American Revolution
Great Britain,Independence from,American Revolution
America,Formation of,American Revolution
Benjamin Franklin,Member of,Committee of Five
Committee of Five,Drafted,Declaration of Independence
Benjamin Franklin,Made changes to,Declaration of Independence
Thomas Jefferson,Sent,Declaration of Independence
Frederick I,Set up,Alsace as a province
Frederick I,Ruled,Alsace with ministeriales
Hagenau,Seat of,central administration of Alsace
Frederick II,Designated,Bishop of Strasbourg to administer Alsace
Frederick II,Challenged,authority of Bishop of Strasbourg
Count Rudolf of Habsburg,Received rights from,Frederick II's son Conrad IV
Conrad IV,Received rights from,Frederick II
Strasbourg,Gained,status of free imperial city
Strasbourg,Became,most populous and commercially important town in the region
Strasbourg,Located on,Paris-Vienna-Orient trade route
Strasbourg,Located on,"Rhine route linking southern Germany and Switzerland to the Netherlands, England and Scandinavia"
Colmar,Gained,autonomy within the Decapole or Dekapolis
Hagenau,Gained,autonomy within the Decapole or Dekapolis
Eli Whitney,Invented,cotton gin
Eli Whitney,Established,gun-manufacturing factory in New Haven
Eli Whitney,Remained in,New Haven
New Haven,Location of,Eli Whitney's factory
Whitneyville,Location of,Eli Whitney's factory
Whitney Avenue,Location of,Eli Whitney's factory
Eli Whitney Museum,Located in,Whitneyville
Eli Whitney Museum,Emphasized,activities for children
Eli Whitney Museum,Exhibited,A. C. Gilbert Company
Simeon North,Established,factory in Connecticut
Simeon North,Contributed to,making early Connecticut a powerful manufacturing economy
Simeon North,Factory of,contributed to making early Connecticut a powerful manufacturing economy
Samuel Colt,Invented,automatic revolver in 1836
Samuel Colt,Invented,automatic revolver
Samuel Colt,Invented,automatic revolver in Whitney's gun-manufacturing plant
Whitney's gun-manufacturing plant,Location of,Samuel Colt's invention of automatic revolver
Farmington Canal,Created,in the early 19th century
Farmington Canal,Ran from,"New Haven to Northampton, Massachusetts"
Gottlob Frege,Developed,mathematical logic
Ludwig Wittgenstein,Developed,mathematical logic
Gottlob Frege,Contributed to,logical empiricism
Ludwig Wittgenstein,Contributed to,logical empiricism
Otto Neurath,Contributed to,logical empiricism
Moritz Schlick,Contributed to,logical empiricism
A.J. Ayer,Contributed to,logical empiricism
Rudolf Carnap,Contributed to,logical empiricism
Hans Reichenbach,Contributed to,logical empiricism
École des Beaux-Arts,Trained,architects in the 19th century
École des Beaux-Arts,Emphasized,production of beautiful drawings
École des Beaux-Arts,Located in,France
Nicolas Chopin,father of,Fryderyk
Nicolas Chopin,husband of,Justyna Krzyżanowska
Nicolas Chopin,worked for,Skarbeks
Fryderyk,baptized in,Brochów
Fryderyk,godfather,Fryderyk Skarbek
Fryderyk Skarbek,pupil of,Nicolas Chopin
Nicolas Chopin,adopted homeland,Poland
Egypt,has factories manufacturing,weapons and consumer goods
Egypt,imports equipment from,US
Egypt,imports equipment from,France
Egypt,imports equipment from,Britain
Egypt,builds equipment under license,US
Egypt,builds equipment under license,France
Egypt,builds equipment under license,Britain
Egypt,has improved relations with,Russia
Egypt,has improved relations with,China
Egypt,has a comprehensive strategic partnership with,China
airline pilots,have difficulty maintaining,sleep patterns
airline pilots,contribute to,accidents
NTSB,has conducted research on,fatigue in pilots
Romanesque art,was prominent in,Mosan art
Mosan art,was influenced by,Nicholas of Verdun
Nicholas of Verdun,created,font at Liège
Liège,has a font created by,Nicholas of Verdun
Gloucester Candlestick,is an example of,Romanesque art
Saint-Savin-sur-Gartempe,has wall-painting,biblical scenes
Andaman and Nicobar Islands,are geographically part of,Southeast Asia
Eastern Bangladesh,is culturally part of,Southeast Asia
Seven Sister States,are geographically part of,Southeast Asia
Papua New Guinea,is sometimes included in,Southeast Asia
Palau,is sometimes included in,Southeast Asia
Guam,is sometimes included in,Southeast Asia
Northern Mariana Islands,are sometimes included in,Southeast Asia
Liberals,have been the party of,middle class
Menzies,referred to,"middle class as ""The forgotten people"""
Australian Democrats,was founded by,Don Chipp
Australian Democrats,was founded by,members of minor liberal parties
Labor,has gained support from,left-leaning middle class
Liberals,have done well among,socially conservative working-class voters
Liberals,have a key support base in,upper-middle classes
barley,is used to make,beer
barley,"has a fibrous hull that remains attached to the grain during threshing)
43. (barley",is milled after malting to remove the hull
Atargatis,worshipped as,Hagne
Hadad,worshipped as,Zeus-Ammon
Atargatis,worshipped as,Aphrodite
Isis,worshipped as,Demeter
Hotel Meurice,opened by,British travellers
Hotel Meurice,located in,Paris
Hotel Meurice,one of the first,luxury hotels
Hôtel du Louvre,opened in,1855
Hôtel du Louvre,now,antiques marketplace
Grand Hotel,now,Intercontinental LeGrand
Grand Hotel,opened in,1862
Hôtel Continental,opened in,1878
Hôtel Ritz,opened in,1898
Hôtel Crillon,opened in,1909
Hotel Bristol,opened in,1925
Hotel George V,opened in,1928
Gaius Julius Caesar,member of,First Triumvirate
Gaius Julius Caesar,allied with,Gnaeus Pompeius Magnus
Gaius Julius Caesar,fought in,Gaul
Marcus Licinius Crassus,member of,First Triumvirate
Marcus Licinius Crassus,invaded,Parthian Empire
Marcus Licinius Crassus,died at,Battle of Carrhae
Gnaeus Pompeius Magnus,member of,First Triumvirate
Gnaeus Pompeius Magnus,allied with,Marcus Licinius Crassus
Gnaeus Pompeius Magnus,fought against,Gaius Julius Caesar
Henry the Young King,fought against,Richard
Henry the Young King,died from,dysentery
Henry II,supported,Richard
Henry II,ordered,"John, to retake Aquitaine"
Richard,refused to give up,Aquitaine
Richard,attacked,Brittany
London,had,cholera epidemics
London,had,overcrowded conditions
London,had,traffic congestion
London,had,Metropolitan Board of Works
London,had,London County Council
London,bombed by,German Luftwaffe
London,bombed by,Blitz
Metropolitan Board of Works,oversaw,infrastructure expansion
Metropolitan Board of Works,abolished,London County Council
London County Council,created,1889
London County Council,replaced,Metropolitan Board of Works
German Luftwaffe,bombed,London
German Luftwaffe,bombed,Blitz
"Muammar Gaddafi)
8. Ronald Reagan",closed down,"Libya's embassy in Washington, D.C.
9. Ronald Reagan, advised, U.S. companies operating in Libya
10. Ronald Reagan, implemented an embargo of, Libyan oil
11. Ronald Reagan, ordered, U.S. companies to cease operating in Libya
12. Muammar Gaddafi, had a commercial relationship with, the Soviets
13. Muammar Gaddafi, threatened to join, the Warsaw Pact
14. Muammar Gaddafi, was accused in the shooting death of, Yvonne Fletcher
15. Muammar Gaddafi, played up his commercial relationship with, the Soviets
16. Yvonne Fletcher, was shot by, Libyan diplomats
17. Napoleon, took more than six weeks in planning and preparing for contingencies before making another attempt at crossing the Danube
18. Napoleon, recrossed the Danube with, his troops
19. Napoleon, commanded his forces in, the Battle of Wagram
20. Napoleon, finished off the battle with a concentrated central thrust that punctured a hole in the Austrian army and forced Charles to retreat
21. Charles, received the French with, his own men
22. Charles, had his position compromised by, a French attack
23. Charles, was forced to retreat by, Napoleon
24. Charles, signed an armistice with, Napoleon
25. Madonna, received acclaim as a role model for businesswomen in her industry
26. Madonna, achieved financial control that women had long fought for within the industry
27. Madonna, generated over $1.2 billion in sales within the first decade of her career
28. Colin Barrow, described Madonna as, ""America's smartest businesswoman""
29. Colin Barrow, identified Madonna's vision of success, her understanding of the music industry, her ability to recognize her own performance limits (and thus bring in help"
"1931)
7. St. Moritz",Hosted,World Ski Championships (1934
"1928)
9. St. Moritz",Hosted,Winter Olympic Games (1948
"1931)
11. Germany",Developed,"8.8 cm FlaK 18
12. Germany, Developed, 36
13. Germany, Developed, 37
14. Germany, Developed, 10.5 cm FlaK 38
15. Germany, Developed, 39
16. Sweden, Partnered with, Krupps
17. Krupps, Partnered with, Bofors
18. World War I, Retained, 8.8 cm FlaK 18
19. World War I, Retained, 36
20. World War I, Retained, 37
21. World War I, Retained, 10.5 cm FlaK 38
22. World War I, Retained, 39
23. PCBs, Uses, Conformal coating
24. PCBs, Applies, Conformal coating
25. QED, Contains, Vacuum fluctuations
26. QED, Contains, Virtual particles
27. QED, Contains, Vacuum energy
28. Electric fields, Has, Zero average value
29. Magnetic fields, Has, Zero average value
30. Electric fields, Has, Non-zero variance
31. Magnetic fields, Has, Non-zero variance
32. Quantum field theory, Explains, Vacuum fluctuations
33. Quantum field theory, Explains, Virtual particles
34. Quantum field theory, Explains, Vacuum energy
35. Coulomb's law, Modified by, Vacuum fluctuations
36. Coulomb's law, Modified by, Electric potential
37. Quran, Concerned with, Islamic beliefs
38. Quran, Concerns, God
39. Quran, Concerns, Islamic resurrection
40. Quran, Contains, Narratives of the early prophets
41. Quran, Contains, Ethical and legal subjects
42. Quran, Contains, Historical events of Muhammad's time
43. Quran, Contains, Charity and prayer
44. Quran, Contains, General exhortations regarding right and wrong
45. Quran, Contains, Historical events
46. Islamic beliefs, Concerned with, Quranic content
47. Islamic beliefs, Concerned with, God
48. Islamic beliefs, Concerned with, Islamic resurrection
49. European intellectual transformation, Bridged, Middle Ages and Modern era
50. Renaissance, Preceded, Middle Ages
51. Renaissance, Succeeded, Middle Ages
52. Middle Ages, Preceded, Modern era
53. Middle Ages, Succeeded, Renaissance
54. Modern era, Succeeded, Middle Ages
55. Age of Reason, Regarded as, Start of modern philosophy
56. Age of Reason, Departed from, Scholasticism
57. Scholasticism, Departed from, Age of Reason
58. 17th-century philosophy, Succeeded, Renaissance philosophy
59. 17th-century philosophy, Preceded, Age of Enlightenment
60. 18th century, Saw, Secularization in Europe
61. 18th century, Saw, French Revolution
62. French Revolution, Led to, Secularization in Europe
63. White light, Formed by, Mixing differently colored lights
64. White light, Formed by, Red, green, and blue (RGB"
Victoria,mother of,Victoria's mother
Victoria's mother,died,Victoria
Conroy,blamed by,Victoria
Lehzen,blamed by,Victoria
Albert,relieved,Victoria
Albert,ill,Typhoid fever
Albert,diagnosed by,William Jenner
Albert,died,Typhoid fever
Albert,died,December 1861
Albert,husband of,Victoria
Prince of Wales,philandering,Albert
Prince of Wales,son of,Albert
Prince of Wales,son of,Victoria
Victoria,blamed,Prince of Wales's philandering
Typhoid fever,caused the death of,Albert
William Jenner,diagnosed Albert with,Typhoid fever
Inner heartwood,remains sound,Old trees
Old trees,"can be hundreds or thousands of years old)
19. (Limb","can be broken, Old trees"
Root,can be broken,Old trees
Fire,can damage,Old trees
Insects,can damage,Old trees
Timber,can damage,Old trees
Larvae,bore into,Trees
Sapwood,has advantages,Old trees
Bipolar transistors,conduct using,Majority carriers
Bipolar transistors,conduct using,Minority carriers
Junction diodes,combined to form,Bipolar transistors
P-type semiconductor,used in,Bipolar transistors
N-type semiconductor,used in,Bipolar transistors
Base region,separates,P-n junctions
Shoichi Washizawa,said,Nagano City should not host the torch relay
Shoichi Washizawa,"apologized for his remark)
34. (Nagano City",apologized for Washizawa's remark
Nagano City,employee,ridiculed Tibetan protests
Nagano City,employee,said Tibetan protests were foolish
Tibetan protests,ridiculed by,Nagano City employee
Tibetan violence,cited as reason,Nagano City cancelled torch relay
Alfonso III,died,910
García,son of,Alfonso III
García,king of,León
Ordoño,son of,Alfonso III
Ordoño,reigned in,Galicia
Fruela,son of,Alfonso III
Fruela,king of,Asturias
Alfonso III,died in,Zamora
García,died childless,León passed to Ordoño
Ordoño,died,León passed to Fruela
Fruela,became king of,Reunited crown
Fruela,died,Unstable succession initiated
Europe,protests in,ridiculed by Nagano City employee
Europe,protests in,"cited as reason, Nagano City cancelled torch relay"
Tibet,protests in,"cited as reason, Nagano City cancelled torch relay"
Tibet,violence in,"cited as reason, Nagano City cancelled torch relay"
Nagano,hosted,Torch relay
Nagano,cancelled,Torch relay
Nagano,city employee,ridiculed Tibetan protests
Nagano,city employee,said Tibetan protests were foolish
Japan,hosted,Torch relay
Mayor of Nagano,"said Nagano should not host the torch relay)
61. (Mayor of Nagano",apologized for his remark
Nagano City,"apologized for the Mayor's remark)
63. (Victoria","wore, Black"
Victoria,entered,Mourning
Victoria,avoided,Public appearances
Victoria,rarely,Set foot in London
London,avoided by,Victoria
Widow of Windsor,nickname of,Victoria
Torch relay,hosted,Nagano
Torch relay,cancelled,Nagano
Tibetan protests,ridiculed by,Nagano City employee
Tibetan protests,cited as reason,Nagano City cancelled torch relay
Tibetan violence,cited as reason,Nagano City cancelled torch relay
Tibet,protests in,"cited as reason, Nagano City cancelled torch relay"
Tibet,violence in,"cited as reason, Nagano City cancelled torch relay"
Australia,subsidised,Island
Commonwealth,subsidised,Island
Island,subsidised by,Commonwealth
Island,subsidised by,Australia
Centrelink,covered,Residents
Medicare,covered,Residents
Australian income tax,applied to,Residents
Residents,had to pay,Australian income tax
Australian welfare schemes,covered,Residents
Residents,covered by,Australian welfare schemes
Victoria,had,Mother
Victoria,had,Son
Victoria,had,Husband
Albert,had,Wife
Albert,had,Son
Prince of Wales,had,Mother
Prince of Wales,had,Father
Albert,died,Typhoid fever
Typhoid fever,caused the death of,Albert
William Jenner,diagnosed Albert with,Typhoid fever
William Jenner,treated,Albert
Typhoid fever,diagnosed by,William Jenner
Albert,was,Ill
Albert,was,Relieved
Albert,was,Husband
Albert,was,Father
Victoria,was,Wife
Victoria,was,Mother
